id,text,type,category,is_active,created_at
757,"I am confident",MORNING_IAM,"Confidence & Inner Strength",1,"2025-11-24 23:03:07"
790,"I am powerful",MORNING_IAM,"Confidence & Inner Strength",1,"2025-11-24 23:03:07"
829,"I am able to let go of what no longer serves me with love and respect",MORNING_IAM,"Confidence & Inner Strength",1,"2025-11-24 23:03:07"
1001,"I am strong enough",MORNING_IAM,"Confidence & Inner Strength",1,"2025-11-24 23:03:07"
1140,"I am secure in my worth",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1141,"I am comfortable being myself in all situations",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1142,"I am someone who trusts my decisions",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1143,"I am someone who follows through on what I start",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1144,"I am someone who acts with clarity and purpose",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1145,"I am someone who stands by my word",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1146,"I am someone who shows up fully for my life",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1147,"I am calm and centered under pressure",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1148,"I am in control of my thoughts and responses",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1149,"I am emotionally steady and self-directed",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1150,"I am at ease in the face of uncertainty",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1151,"I am patient and composed in all situations",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1152,"I am resilient and I rise from every challenge",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1153,"I am stronger than any obstacle before me",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1154,"I am able to adapt and grow through anything",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1155,"I am learning, growing, and improving every day",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1156,"I am committed to becoming my best self",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1157,"I am clear in my voice and I express myself freely",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1158,"I am honest and direct in my communication",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1159,"I am unafraid to speak my truth",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1160,"I am respected because I respect myself",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1161,"I am setting and maintaining healthy boundaries",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1162,"I am disciplined and consistent in my actions",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1163,"I am focused on what matters most",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1164,"I am taking action even when it feels uncomfortable",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1165,"I am building confidence through what I do daily",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1166,"I am becoming stronger with every step I take",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1167,"I am enough exactly as I am, and I continue to grow",MORNING_IAM,"Confidence & Inner Strength",1,"2026-05-03 18:16:24"
1230,"I am grounded and present in my life",MORNING_IAM,General,1,"2026-05-03 19:45:19"
1231,"I am aligned with what is good for me",MORNING_IAM,General,1,"2026-05-03 19:45:19"
1232,"I am moving forward with clarity and purpose",MORNING_IAM,General,1,"2026-05-03 19:45:19"
1247,"I am calm and centered",MORNING_IAM,General,1,"2026-05-03 20:19:49"
1248,"I am responding to life with awareness and choice",MORNING_IAM,General,1,"2026-05-03 20:20:03"
1249,"I am clear about what matters to me",MORNING_IAM,General,1,"2026-05-03 20:20:24"
1250,"I am becoming more of who I truly am",MORNING_IAM,General,1,"2026-05-03 20:21:14"
1251,"I am present in each moment as it unfolds",MORNING_IAM,General,1,"2026-05-03 20:21:32"
1252,"I am capable of handling whatever comes my way",MORNING_IAM,General,1,"2026-05-03 20:22:05"
1253,"I am building a life that feels right to me",MORNING_IAM,General,1,"2026-05-03 20:22:41"
1254,"I am supported in ways I can see and cannot see",MORNING_IAM,General,1,"2026-05-03 20:23:05"
1255,"I am in alignment with truth, integrity, and purpose",MORNING_IAM,General,1,"2026-05-03 20:23:34"
1256,"I am allowing things to unfold in their own time",MORNING_IAM,General,1,"2026-05-03 20:24:03"
1257,"I am focused on what I can control and release what I cannot",MORNING_IAM,General,1,"2026-05-03 20:24:22"
1258,"I am creating space for what matters most",MORNING_IAM,General,1,"2026-05-03 20:24:38"
1259,"I am living with intention and awareness",MORNING_IAM,General,1,"2026-05-03 20:24:51"
1260,"I am exactly where I need to be, and I am moving forward",MORNING_IAM,General,1,"2026-05-03 20:25:18"
