"id","type","text"
"731","MORNING_IAM","I am Divine"
"732","MORNING_IAM","I am a Divinely inspired"
"733","MORNING_IAM","I am the divine being in this skin"
"734","MORNING_IAM","I am happy and excited that everything is always working out for me"
"735","MORNING_IAM","I am loved"
"736","MORNING_IAM","I am loving the life I am living"
"737","MORNING_IAM","I am living the life I am loving"
"738","MORNING_IAM","I am blessed"
"739","MORNING_IAM","I am joy"
"740","MORNING_IAM","I am listened to"
"741","MORNING_IAM","I am heard"
"742","MORNING_IAM","I am visible"
"743","MORNING_IAM","I am seen"
"744","MORNING_IAM","I am fun and a joyful being"
"745","MORNING_IAM","I am the loved child of a generous universe"
"746","MORNING_IAM","I am a blessing to others"
"747","MORNING_IAM","I am prosperous"
"748","MORNING_IAM","I am the best version of me that has everything I want"
"749","MORNING_IAM","I am whole, healed, abundantly prospered and stable"
"750","MORNING_IAM","I am wealthy now"
"751","MORNING_IAM","I am bursting with ancestral wisdom"
"752","MORNING_IAM","I am an open and friendly person"
"753","MORNING_IAM","I am compassion"
"754","MORNING_IAM","I am open and receptive to all my Divine Good"
"755","MORNING_IAM","I am peace"
"756","MORNING_IAM","I am happy"
"757","MORNING_IAM","I am confident"
"758","MORNING_IAM","I am generous"
"759","MORNING_IAM","I am an ecstatic bundle of divine genetic material"
"760","MORNING_IAM","I am a burst of sunshine in the lives of others"
"761","MORNING_IAM","I am a good parent"
"762","MORNING_IAM","I am a good friend"
"763","MORNING_IAM","I am a good neighbor"
"764","MORNING_IAM","I am the embodiment of the good shepherd"
"765","MORNING_IAM","I am a positive contribution to the well-being of this planet"
"766","MORNING_IAM","I am a positive contribution to the well-being of my family"
"767","MORNING_IAM","I am a positive contribution to the well-being of my community"
"768","MORNING_IAM","I am an abundant being"
"769","MORNING_IAM","I am beautiful"
"770","MORNING_IAM","I am warm and friendly"
"771","MORNING_IAM","I am playful"
"772","MORNING_IAM","I am creative"
"773","MORNING_IAM","I am artistic"
"774","MORNING_IAM","I am thoughtful"
"775","MORNING_IAM","I am caring"
"776","MORNING_IAM","I am kind"
"777","MORNING_IAM","I am that I am"
"778","MORNING_IAM","I am humble"
"779","MORNING_IAM","I am at home in quiet spaces"
"780","MORNING_IAM","I am a joyful noise"
"781","MORNING_IAM","I am well fed"
"782","MORNING_IAM","I am clothed in the richness of Divine Substance"
"783","MORNING_IAM","I am well cared for"
"784","MORNING_IAM","I am safe"
"785","MORNING_IAM","I am protected"
"786","MORNING_IAM","I am the child of a generous creator"
"787","MORNING_IAM","I am the change I have been waiting for"
"788","MORNING_IAM","I am the love I have been looking for"
"789","MORNING_IAM","I am an affirmation of life"
"790","MORNING_IAM","I am powerful"
"791","MORNING_IAM","I am the word in perfect form"
"792","MORNING_IAM","I am that I am and that I am is amazing"
"793","MORNING_IAM","I am always in a fun-loving frame of mind"
"794","MORNING_IAM","I am in love with You and the world"
"795","MORNING_IAM","I am trustworthy"
"796","MORNING_IAM","I am always on time"
"797","MORNING_IAM","I am always in the right place at the right time"
"798","MORNING_IAM","I am always where I am supposed to be"
"799","MORNING_IAM","I am creatively carefree and love all that unfolds from this state of being"
"800","MORNING_IAM","I am safely held in this wonderful home"
"801","MORNING_IAM","I am at home in this wonderful neighborhood"
"802","MORNING_IAM","I am loving"
"803","MORNING_IAM","I am blessing others every day in every way by what I do and what I say"
"804","MORNING_IAM","I am always saying yes to my good"
"805","MORNING_IAM","I am a force for good"
"806","MORNING_IAM","I am full of energy"
"807","MORNING_IAM","I am getting better and better every day in every way"
"808","MORNING_IAM","I am in love with the air that I breathe"
"809","MORNING_IAM","I am in love with the good food I eat"
"810","MORNING_IAM","I am in love with the water I drink"
"811","MORNING_IAM","I am calm"
"812","MORNING_IAM","I am mindful"
"813","MORNING_IAM","I am a perfect fit"
"814","MORNING_IAM","I am a money magnet"
"815","MORNING_IAM","I am a love magnet"
"816","MORNING_IAM","I am a joy magnet"
"817","MORNING_IAM","I am a peace magnet"
"818","MORNING_IAM","I am a sacred space"
"819","MORNING_IAM","I am an experience of peace"
"820","MORNING_IAM","I am an experience of joy"
"821","MORNING_IAM","I am an experience of love"
"822","MORNING_IAM","I am in love with intimacy"
"823","MORNING_IAM","I am basking in the luxurious life of the divine"
"824","MORNING_IAM","I am a channel of the Divine"
"825","MORNING_IAM","I am funny"
"826","MORNING_IAM","I am lighthearted"
"827","MORNING_IAM","I am always meeting great and wonderful people"
"828","MORNING_IAM","I am always seeing the good in others"
"829","MORNING_IAM","I am able to let go of what no longer serves me with love and respect"
