id,new_category,confidence
731,Self-Love & Worthiness,Medium
732,Self-Love & Worthiness,Low
733,Self-Love & Worthiness,Medium
734,Peace,Medium
735,Self-Love & Worthiness,High
736,Love & Relationships,Medium
737,Love & Relationships,Medium
738,Self-Love & Worthiness,Medium
739,Peace,Medium
740,Self-Love & Worthiness,Low
741,Self-Love & Worthiness,Low
742,Self-Love & Worthiness,Low
743,Self-Love & Worthiness,Medium
744,Self-Love & Worthiness,Low
745,Self-Love & Worthiness,Medium
746,Wealth & Abundance,High
747,Wealth & Abundance,Medium
748,Self-Love & Worthiness,Low
749,Health & Wholeness,High
750,Wealth & Abundance,Medium
751,Self-Love & Worthiness,Low
752,Purpose,Medium
753,Love & Relationships,Medium
754,Self-Love & Worthiness,Medium
755,Peace,Medium
756,Peace,Medium
757,Confidence & Inner Strength,Medium
758,Self-Love & Worthiness,Low
759,Self-Love & Worthiness,Medium
760,Self-Love & Worthiness,Low
761,Self-Love & Worthiness,Low
762,Love & Relationships,Medium
763,Self-Love & Worthiness,Low
764,Self-Love & Worthiness,Low
765,Health & Wholeness,Medium
766,Health & Wholeness,Medium
767,Health & Wholeness,Medium
768,Self-Love & Worthiness,Low
769,Self-Love & Worthiness,Low
770,Self-Love & Worthiness,Low
771,Self-Love & Worthiness,Low
772,Self-Love & Worthiness,Low
773,Self-Love & Worthiness,Low
774,Self-Love & Worthiness,Low
775,Self-Love & Worthiness,Low
776,Self-Love & Worthiness,Low
777,Self-Love & Worthiness,Low
778,Self-Love & Worthiness,Low
779,Peace,Medium
780,Self-Love & Worthiness,Low
781,Self-Love & Worthiness,Low
782,Self-Love & Worthiness,Medium
783,Self-Love & Worthiness,Low
784,Peace,Medium
785,Peace,Medium
786,Purpose,Medium
787,Self-Love & Worthiness,Low
788,Love & Relationships,Medium
789,Self-Love & Worthiness,Low
790,Confidence & Inner Strength,High
791,Self-Love & Worthiness,Low
792,Self-Love & Worthiness,Low
793,Love & Relationships,Medium
794,Love & Relationships,Medium
795,Self-Love & Worthiness,Low
796,Self-Love & Worthiness,Low
797,Self-Love & Worthiness,Low
798,Self-Love & Worthiness,Low
799,Love & Relationships,Medium
800,Self-Love & Worthiness,Low
801,Self-Love & Worthiness,Low
802,Love & Relationships,Medium
803,Wealth & Abundance,High
804,Self-Love & Worthiness,Low
805,Self-Love & Worthiness,Low
806,Health & Wholeness,Medium
807,Self-Love & Worthiness,Low
808,Love & Relationships,Medium
809,Love & Relationships,Medium
810,Love & Relationships,Medium
811,Peace,Medium
812,Peace,Medium
813,Self-Love & Worthiness,Low
814,Wealth & Abundance,Medium
815,Love & Relationships,Medium
816,Peace,Medium
817,Peace,Medium
818,Self-Love & Worthiness,Medium
819,Peace,Medium
820,Peace,Medium
821,Love & Relationships,Medium
822,Love & Relationships,Medium
823,Self-Love & Worthiness,Medium
824,Self-Love & Worthiness,Medium
825,Self-Love & Worthiness,Low
826,Self-Love & Worthiness,Low
827,Self-Love & Worthiness,Low
828,Self-Love & Worthiness,Low
829,Confidence & Inner Strength,Medium
830,Peace,Medium
831,Peace,Medium
832,Peace,Medium
833,Self-Love & Worthiness,Low
834,Peace,High
835,Self-Love & Worthiness,Low
836,Self-Love & Worthiness,Low
837,Health & Wholeness,Medium
838,Self-Love & Worthiness,Low
839,Peace,Medium
840,Peace,Medium
841,Self-Love & Worthiness,Medium
842,Self-Love & Worthiness,Medium
843,Self-Love & Worthiness,Low
844,Self-Love & Worthiness,Medium
845,Self-Love & Worthiness,Medium
846,Self-Love & Worthiness,Low
847,Self-Love & Worthiness,Low
848,Self-Love & Worthiness,Low
849,Self-Love & Worthiness,Low
850,Peace,Medium
851,Wealth & Abundance,Medium
852,Self-Love & Worthiness,Low
853,Self-Love & Worthiness,Low
854,Peace,Medium
855,Wealth & Abundance,Medium
856,Peace,Medium
857,Wealth & Abundance,Medium
858,Self-Love & Worthiness,Medium
859,Self-Love & Worthiness,Low
860,Self-Love & Worthiness,Medium
861,Self-Love & Worthiness,Low
862,Self-Love & Worthiness,High
863,Self-Love & Worthiness,High
864,Self-Love & Worthiness,Low
865,Self-Love & Worthiness,Low
866,Self-Love & Worthiness,Low
867,Self-Love & Worthiness,Low
868,Self-Love & Worthiness,Low
869,Self-Love & Worthiness,Medium
870,Self-Love & Worthiness,Medium
871,Love & Relationships,Medium
872,Love & Relationships,High
873,Love & Relationships,Medium
874,Self-Love & Worthiness,Low
875,Self-Love & Worthiness,High
876,Self-Love & Worthiness,Medium
877,Self-Love & Worthiness,Low
878,Confidence & Inner Strength,Medium
879,Love & Relationships,Medium
880,Self-Love & Worthiness,Low
881,Self-Love & Worthiness,Low
882,Self-Love & Worthiness,Low
883,Self-Love & Worthiness,Low
884,Self-Love & Worthiness,Low
885,Self-Love & Worthiness,Medium
886,Self-Love & Worthiness,Low
887,Love & Relationships,Medium
888,Love & Relationships,Medium
889,Love & Relationships,Medium
890,Love & Relationships,Medium
891,Self-Love & Worthiness,Medium
892,Self-Love & Worthiness,Medium
893,Self-Love & Worthiness,Low
894,Love & Relationships,Medium
895,Love & Relationships,Medium
896,Love & Relationships,Medium
897,Love & Relationships,Medium
898,Love & Relationships,Medium
899,Health & Wholeness,Medium
900,Love & Relationships,Medium
901,Love & Relationships,Medium
902,Love & Relationships,Medium
903,Love & Relationships,Medium
904,Love & Relationships,Medium
905,Self-Love & Worthiness,Low
906,Self-Love & Worthiness,Low
907,Self-Love & Worthiness,Medium
908,Self-Love & Worthiness,Medium
909,Self-Love & Worthiness,Low
910,Self-Love & Worthiness,Low
911,Self-Love & Worthiness,Low
912,Self-Love & Worthiness,Low
913,Self-Love & Worthiness,Low
914,Self-Love & Worthiness,Low
915,Self-Love & Worthiness,Low
916,Self-Love & Worthiness,Low
917,Self-Love & Worthiness,Low
918,Self-Love & Worthiness,Low
919,Peace,Medium
920,Wealth & Abundance,Medium
921,Self-Love & Worthiness,Low
922,Self-Love & Worthiness,Low
923,Self-Love & Worthiness,Medium
924,Self-Love & Worthiness,Low
925,Love & Relationships,Medium
926,Love & Relationships,Medium
927,Peace,Medium
928,Peace,Medium
929,Peace,Medium
930,Peace,Medium
931,Peace,Medium
932,Peace,Medium
933,Love & Relationships,Medium
934,Peace,Medium
935,Peace,Medium
936,Peace,Medium
937,Peace,Medium
938,Self-Love & Worthiness,Low
939,Self-Love & Worthiness,Low
940,Self-Love & Worthiness,Medium
941,Self-Love & Worthiness,Medium
942,Self-Love & Worthiness,Medium
943,Self-Love & Worthiness,Low
944,Wealth & Abundance,Medium
945,Peace,Medium
946,Self-Love & Worthiness,Low
947,Self-Love & Worthiness,Low
948,Peace,Medium
949,Self-Love & Worthiness,Medium
950,Self-Love & Worthiness,Medium
951,Self-Love & Worthiness,Low
952,Self-Love & Worthiness,Low
953,Self-Love & Worthiness,Low
954,Self-Love & Worthiness,Low
955,Self-Love & Worthiness,Low
956,Love & Relationships,Medium
957,Peace,Medium
958,Self-Love & Worthiness,Low
959,Love & Relationships,Medium
960,Self-Love & Worthiness,Low
961,Peace,Medium
962,Self-Love & Worthiness,Low
963,Self-Love & Worthiness,Low
964,Self-Love & Worthiness,Low
965,Self-Love & Worthiness,Low
966,Love & Relationships,Medium
967,Love & Relationships,Medium
968,Love & Relationships,Medium
969,Love & Relationships,Medium
970,Love & Relationships,Medium
971,Self-Love & Worthiness,Low
972,Self-Love & Worthiness,Low
973,Self-Love & Worthiness,Low
974,Love & Relationships,Medium
975,Love & Relationships,Medium
976,Self-Love & Worthiness,Medium
977,Love & Relationships,Medium
978,Love & Relationships,Medium
979,Love & Relationships,Medium
980,Love & Relationships,Medium
981,Love & Relationships,Medium
982,Self-Love & Worthiness,Low
983,Wealth & Abundance,Medium
984,Self-Love & Worthiness,Low
985,Self-Love & Worthiness,Low
986,Self-Love & Worthiness,Low
987,Peace,Medium
988,Peace,Medium
989,Self-Love & Worthiness,Low
990,Self-Love & Worthiness,Medium
991,Self-Love & Worthiness,Medium
992,Self-Love & Worthiness,Medium
993,Self-Love & Worthiness,Medium
994,Self-Love & Worthiness,Medium
995,Self-Love & Worthiness,Medium
996,Self-Love & Worthiness,Medium
997,Self-Love & Worthiness,Low
998,Self-Love & Worthiness,Low
999,Self-Love & Worthiness,Low
1000,Self-Love & Worthiness,Medium
1001,Confidence & Inner Strength,High
1002,Self-Love & Worthiness,Medium
1003,Self-Love & Worthiness,Low
1004,Self-Love & Worthiness,Low
1005,Self-Love & Worthiness,Low
1006,Self-Love & Worthiness,Low
1007,Peace,Medium
1008,Love & Relationships,Medium
1009,Love & Relationships,High
1010,Love & Relationships,Medium
1011,Love & Relationships,Medium
1012,Love & Relationships,Medium
1013,Love & Relationships,Medium
1014,Love & Relationships,Medium
1015,Self-Love & Worthiness,Medium
1016,Love & Relationships,Medium
1017,Self-Love & Worthiness,Low
1018,Self-Love & Worthiness,Low
1019,Purpose,Medium
1020,Purpose,Medium
1021,Self-Love & Worthiness,Low
1022,Love & Relationships,Medium
1023,Self-Love & Worthiness,Low
1024,Self-Love & Worthiness,Low
1025,Self-Love & Worthiness,Low
1026,Love & Relationships,Medium
1027,Love & Relationships,Medium
1028,Love & Relationships,Medium
1029,Love & Relationships,Medium
1030,Love & Relationships,Medium
1031,Self-Love & Worthiness,Low
1032,Love & Relationships,Medium
1033,Peace,Medium
1034,Love & Relationships,Medium
1035,Love & Relationships,Medium
1036,Love & Relationships,Medium
1037,Love & Relationships,Medium
1038,Love & Relationships,Medium
1039,Purpose,Medium
1040,Self-Love & Worthiness,Low
1041,Self-Love & Worthiness,Medium
1042,Self-Love & Worthiness,Medium
1043,Self-Love & Worthiness,Low
1044,Love & Relationships,High
1045,Peace,Medium
1046,Love & Relationships,Medium
1047,Love & Relationships,Medium
1048,Love & Relationships,Medium
1049,Self-Love & Worthiness,Low
1050,Self-Love & Worthiness,Low
1051,Love & Relationships,Medium
1052,Love & Relationships,Medium
1053,Self-Love & Worthiness,Low
1054,Self-Love & Worthiness,Low
1055,Love & Relationships,Medium
1056,Peace,Medium
1057,Peace,Medium
1058,Self-Love & Worthiness,Low
1059,Peace,Medium
1060,Self-Love & Worthiness,Low
1061,Self-Love & Worthiness,Low
1062,Self-Love & Worthiness,Low
1063,Self-Love & Worthiness,Low
1064,Self-Love & Worthiness,Low
1065,Self-Love & Worthiness,Low
1066,Self-Love & Worthiness,High
1067,Self-Love & Worthiness,Low
1068,Wealth & Abundance,Medium
1069,Love & Relationships,Medium
1070,Self-Love & Worthiness,Low
1071,Self-Love & Worthiness,Low
1072,Self-Love & Worthiness,Low
1073,Self-Love & Worthiness,Low
1074,Self-Love & Worthiness,Low
1075,Love & Relationships,Medium
1076,Self-Love & Worthiness,Low
1077,Self-Love & Worthiness,Low
1078,Love & Relationships,Medium
1079,Health & Wholeness,High
1080,Purpose,Medium
1081,Self-Love & Worthiness,Low
1082,Self-Love & Worthiness,Medium
1083,Self-Love & Worthiness,Low
1084,Self-Love & Worthiness,Low
1085,Self-Love & Worthiness,Low
1086,Purpose,Medium
1087,Peace,Medium
1088,Self-Love & Worthiness,Low
1089,Self-Love & Worthiness,Low
1090,Self-Love & Worthiness,Medium
1091,Love & Relationships,Medium
1092,Self-Love & Worthiness,Low
1093,Peace,Medium
1094,Self-Love & Worthiness,Low
1095,Self-Love & Worthiness,Medium
1096,Self-Love & Worthiness,Medium
1097,Self-Love & Worthiness,Low
1098,Self-Love & Worthiness,Low
1099,Self-Love & Worthiness,Low
1100,Self-Love & Worthiness,Low
1101,Purpose,Medium
1102,Self-Love & Worthiness,High
1103,Self-Love & Worthiness,Medium
1104,Self-Love & Worthiness,Low
1105,Self-Love & Worthiness,Medium
1106,Self-Love & Worthiness,Low
1107,Self-Love & Worthiness,Medium
1108,Peace,Medium
1109,Self-Love & Worthiness,High
1110,Love & Relationships,Medium
1111,Love & Relationships,Medium
1112,Self-Love & Worthiness,Medium
1113,Peace,Medium
1114,Self-Love & Worthiness,Low
1115,Self-Love & Worthiness,Low
1116,Self-Love & Worthiness,Low
1117,Self-Love & Worthiness,Medium
1118,Self-Love & Worthiness,Low
1119,Self-Love & Worthiness,Medium
1120,Wealth & Abundance,High
1121,Wealth & Abundance,Medium
1122,Self-Love & Worthiness,Low
1123,Health & Wholeness,High
1124,Wealth & Abundance,Medium
1125,Self-Love & Worthiness,Low
1126,Purpose,Medium
1127,Love & Relationships,Medium
1128,Self-Love & Worthiness,Medium
1129,Peace,Medium
1130,Peace,Medium
1131,Confidence & Inner Strength,Medium
1132,Self-Love & Worthiness,Low
1133,Self-Love & Worthiness,Medium
1134,Self-Love & Worthiness,Low
1135,Self-Love & Worthiness,Low
1136,Love & Relationships,Medium
1137,Self-Love & Worthiness,Low
1138,Self-Love & Worthiness,Low
1139,Health & Wholeness,Medium
1140,Health & Wholeness,Medium
1141,Health & Wholeness,Medium
1142,Self-Love & Worthiness,Low
1143,Self-Love & Worthiness,Low
1144,Self-Love & Worthiness,Low
1145,Self-Love & Worthiness,Low
1146,Self-Love & Worthiness,Low
1147,Self-Love & Worthiness,Low
1148,Self-Love & Worthiness,Low
1149,Self-Love & Worthiness,Low
1150,Self-Love & Worthiness,Low
1151,Self-Love & Worthiness,Low
1152,Self-Love & Worthiness,Low
1153,Peace,Medium
1154,Self-Love & Worthiness,Low
1155,Self-Love & Worthiness,Low
1156,Self-Love & Worthiness,Medium
1157,Self-Love & Worthiness,Low
1158,Peace,Medium
1159,Peace,Medium
1160,Purpose,Medium
1161,Self-Love & Worthiness,Low
1162,Love & Relationships,Medium
1163,Self-Love & Worthiness,Low
1164,Confidence & Inner Strength,High
1165,Self-Love & Worthiness,Low
1166,Self-Love & Worthiness,Low
1167,Love & Relationships,Medium
1168,Love & Relationships,Medium
1169,Self-Love & Worthiness,Low
1170,Self-Love & Worthiness,Low
1171,Self-Love & Worthiness,Low
1172,Self-Love & Worthiness,Low
1173,Love & Relationships,Medium
1174,Self-Love & Worthiness,Low
1175,Self-Love & Worthiness,Low
1176,Love & Relationships,Medium
1177,Wealth & Abundance,High
1178,Self-Love & Worthiness,Low
1179,Self-Love & Worthiness,Low
1180,Health & Wholeness,Medium
1181,Self-Love & Worthiness,Low
1182,Love & Relationships,Medium
1183,Love & Relationships,Medium
